DealType,KondorId,KTPId,BalanceDeal,TypeOfInstrument,SubTypeOfInstrument,LegType,Asset,Currency,Amount,MaturityDate,RateType,FixingDate,FixingFrequencyNumber,FixingFrequencyPeriod,Rate,NPVDeltaILS,Portfolio,GammaILS,VegaILS,Cpty,UserName,TradeDate,CalcA,CalcB,CalcC
ForwardDeals,1,1,NO,FORWARD,FORWARD,NULL,EUR/USD,EUR,2500000,5/30/2018,NULL,NULL,NULL,NULL,NULL,2506058.38,1,NULL,NULL,1,1,11/28/2014,,,
ForwardDeals,2,2,NO,FORWARD,FORWARD,NULL,EUR/USD,USD,-3250000,5/30/2018,NULL,NULL,NULL,NULL,NULL,-3227013.83,2,NULL,NULL,2,2,11/28/2014,,,
ForwardDeals,3,3,NO,FORWARD,FORWARD,NULL,EUR/USD,EUR,2500000,1/7/2019,NULL,NULL,NULL,NULL,NULL,2515928.11,3,NULL,NULL,3,3,1/7/2015,,,
ForwardDeals,4,4,NO,FORWARD,FORWARD,NULL,EUR/USD,USD,-3155250,1/7/2019,NULL,NULL,NULL,NULL,NULL,-3095183.6,4,NULL,NULL,4,4,1/7/2015,,,
ForwardDeals,5,5,NO,FORWARD,FORWARD,NULL,EUR/USD,EUR,2500000,7/19/2018,NULL,NULL,NULL,NULL,NULL,2508221.39,5,NULL,NULL,5,5,1/21/2015,,,
ForwardDeals,6,6,NO,FORWARD,FORWARD,NULL,EUR/USD,USD,-3023000,7/19/2018,NULL,NULL,NULL,NULL,NULL,-2993986.48,6,NULL,NULL,6,6,1/21/2015,,,
ForwardDeals,7,7,NO,FORWARD,FORWARD,NULL,USD/ILS,ILS,18792500,2/26/2018,NULL,NULL,NULL,NULL,NULL,18788291.45,7,NULL,NULL,7,7,2/25/2015,,,
ForwardDeals,8,8,NO,FORWARD,FORWARD,NULL,USD/ILS,USD,-5000000,2/26/2018,NULL,NULL,NULL,NULL,NULL,-4987578.43,8,NULL,NULL,8,8,2/25/2015,,,
ForwardDeals,9,9,NO,FORWARD,FORWARD,NULL,USD/ILS,ILS,18792500,2/26/2018,NULL,NULL,NULL,NULL,NULL,18788291.45,9,NULL,NULL,9,9,2/25/2015,,,
ForwardDeals,10,10,NO,FORWARD,FORWARD,NULL,USD/ILS,USD,-5000000,2/26/2018,NULL,NULL,NULL,NULL,NULL,-4987578.43,10,NULL,NULL,10,10,2/25/2015,,,
ForwardDeals,11,11,NO,FORWARD,FORWARD,NULL,EUR/USD,EUR,2500000,9/17/2018,NULL,NULL,NULL,NULL,NULL,2510942.83,11,NULL,NULL,11,11,3/16/2015,,,
ForwardDeals,12,12,NO,FORWARD,FORWARD,NULL,EUR/USD,USD,-2817000,9/17/2018,NULL,NULL,NULL,NULL,NULL,-2780970.25,12,NULL,NULL,12,12,3/16/2015,,,
ForwardDeals,13,13,NO,FORWARD,FORWARD,NULL,USD/ILS,ILS,6633000,6/28/2018,NULL,NULL,NULL,NULL,NULL,6630052.03,13,NULL,NULL,13,13,6/25/2015,,,
