N,DEAL_ID,ON_OFF_BALANCE,DEAL_TYPE,PROD_TYPE,PAY_RECIEVE,CCY,NOTIONAL,MATURITY_DATE,INTEREST_TYPE,FIXING_DATE,INT_CHANGE_FREQ,INT_CHAGE_TERM,INT_PRE,NPV_DELTA_ILS,NETED,NETED_ID,Portfolio,NETTING_COUNTER,CONTRACT_MAT_DATE,validity date
274,9.50E+27,Offbalance,IRSWP,IRS       ,-1,EUR,"-10,104,842.00",28/01/2020,V,29/10/2018,Q,1,-0.0032,,1,1.71E+28,DROOM     ,1,,
275,9.50E+27,Offbalance,IRSWP,IRS       ,1,EUR,"10,104,842.00",28/01/2020,F,,0,0,0.046,"44,949,157.44",0,,DROOM     ,,,
276,1.07E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-25,000,000.00",17/09/2018,F,,0,0,0.0572,"-26,424,923.26",0,,ILS_FRA_NE,,,
277,1.07E+28,Offbalance,IRSWP,IRS       ,1,ILS,"25,000,000.00",17/09/2018,V,17/09/2018,Q,1,0.001,"25,005,136.22",0,,ILS_FRA_NE,,,
278,1.07E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-25,000,000.00",20/09/2018,F,,0,0,0.0583,"-26,460,115.09",0,,ILS_FRA_NE,,,
279,1.07E+28,Offbalance,IRSWP,IRS       ,1,ILS,"25,000,000.00",20/09/2018,V,20/09/2018,Q,1,0.001,"25,005,067.58",0,,ILS_FRA_NE,,,
280,1.08E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-25,000,000.00",25/09/2018,F,,0,0,0.0598,"-26,493,257.11",0,,ILS_FRA_NE,,,
281,1.08E+28,Offbalance,IRSWP,IRS       ,1,ILS,"25,000,000.00",25/09/2018,V,25/09/2018,Q,1,0.0011,"25,004,971.45",1,1.32E+28,ILS_FRA_NE,1,,
282,1.08E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-25,000,000.00",26/09/2018,F,,0,0,0.0596,"-26,488,184.84",0,,ILS_FRA_NE,,,
283,1.08E+28,Offbalance,IRSWP,IRS       ,1,ILS,"25,000,000.00",26/09/2018,V,26/09/2018,Q,1,0.0011,"25,004,902.91",0,,ILS_FRA_NE,,,
284,1.08E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-25,000,000.00",29/09/2018,F,,0,0,0.0591,"-26,483,498.77",0,,ILS_FRA_NE,,,
285,1.08E+28,Offbalance,IRSWP,IRS       ,1,ILS,"25,000,000.00",29/09/2018,V,28/09/2018,Q,1,0.001,"25,004,631.61",1,1.46E+28,ILS_FRA_NE,1,,
286,1.08E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-25,000,000.00",6/10/2018,F,,0,0,0.0598,"-26,496,476.43",0,,ILS_FRA_NE,,,
287,1.08E+28,Offbalance,IRSWP,IRS       ,1,ILS,"25,000,000.00",6/10/2018,V,8/10/2018,Q,1,0.001,"25,004,089.03",1,2.34E+28,ILS_FRA_NE,1,,
288,1.08E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-30,000,000.00",10/10/2018,F,,0,0,0.0603,"-31,805,590.52",0,,ILS_FRA_NE,,,
289,1.08E+28,Offbalance,IRSWP,IRS       ,1,ILS,"30,000,000.00",10/10/2018,V,10/10/2018,Q,1,0.001,"30,004,572.08",1,2.53E+28,ILS_FRA_NE,1,,
290,1.09E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-25,000,000.00",22/10/2018,V,22/10/2018,Q,1,0.001,"-25,003,113.69",1,1.80E+28,ILS_FRA_NE,1,,
291,1.09E+28,Offbalance,IRSWP,IRS       ,1,ILS,"25,000,000.00",22/10/2018,F,,0,0,0.0582,"26,459,249.91",0,,ILS_FRA_NE,,,
292,1.09E+28,Offbalance,IRSWP,IRS       ,-1,ILS,"-25,000,000.00",22/10/2018,V,22/10/2018,Q,1,0.001,"-25,002,777.43",1,1.80E+28,ILS_FRA_NE,1,,
293,1.09E+28,Offbalance,IRSWP,IRS       ,1,ILS,"25,000,000.00",22/10/2018,F,,0,0,0.0581,"26,444,799.89",0,,ILS_FRA_NE,,,
