Deal ID,Balance Off Balance,Main Type,Deal Type,Pay Recieve,Underlying,CCY,Notional,Maturity Date,Interest Type,Interest Change Date,Interest change N,Interest change freq,Interest percent,NPL-DELTA ILS,Portfolio,GAMMA ILS,VEGA ILS,Couterparty
02040573009999110000002300730000000000,Balance,PAM,AGH       ,1,IR,CPE,15000000 ,31/07/2024,F,,M,0,0.04,22721461 ,0,,,COUNTRY_X
02040573009999460000000103010000000000,Balance,ZCB,MKM       ,1,IR,ILS,92446800 ,07/06/2017,F,,M,0,0.00,92154142 ,0,,,COUNTRY_X
02040573009999460000004365770000000000,Balance,PAM,AGH       ,1,IR,ILS,29808290 ,31/03/2023,F,,M,0,0.04,34838778 ,0,,,COUNTRY_X
02040956019999110000009196910000000000,Balance,PAM,AGH       ,1,IR,USD,4000000 ,30/06/2022,F,,M,0,0.04,17512713 ,0,,,CORPORATE_X
00000000015049950000000000000000000000,Offbalance,IRSWP,IRS       ,-1,IR,ILS,-38000000 ,23/03/2026,F,,0,0,0.06,-53572103 ,DROOM     ,,,CORPORATE_OTC_X
00000000015049950000000000000000000000,Offbalance,IRSWP,IRS       ,1,IR,ILS,38000000 ,23/03/2026,V,21/12/2016,Q,1,0.00,38000912 ,DROOM     ,,,CORPORATE_OTC_X
00000000015075340000000000000000000500,Offbalance,IRSWP,IRS       ,-1,IR,ILS,-38000000 ,23/03/2026,V,21/12/2016,Q,1,0.00,-38000912 ,ILS_FRA_NE,,,CORPORATE_OTC_X
00000000015075340000000000000000000500,Offbalance,IRSWP,IRS       ,1,IR,ILS,38000000 ,23/03/2026,F,,0,0,0.06,53572103 ,ILS_FRA_NE,,,CORPORATE_OTC_X
00000000021751400000000000000000000000,Offbalance,IRSWP,IRS       ,-1,IR,USD,-5000000 ,02/03/2026,V,01/12/2016,Q,1,0.01,-18809796 ,DROOM     ,,,CORPORATE_OTC_X
00000000021751400000000000000000000000,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000 ,02/03/2026,F,,0,0,0.02,19387696 ,DROOM     ,,,CORPORATE_OTC_X
00000000021870700000000000000000000500,Offbalance,IRSWP,IRS       ,-1,IR,USD,-5000000 ,24/11/2025,F,,0,0,0.02,-19261123 ,CY_BONDTRA,,,CORPORATE_OTC_X
00000000021870700000000000000000000500,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000 ,24/11/2025,V,25/11/2016,Q,1,0.01,18812528 ,CY_BONDTRA,,,CORPORATE_OTC_X
00000000021779910000000000000000000500,Offbalance,IRSWP,IRS       ,-1,IR,USD,-5000000 ,16/03/2026,F,,0,0,0.02,-19463369 ,CY_BONDTRA,,,BANK_OTC_x
00000000021779910000000000000000000500,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000 ,16/03/2026,V,15/12/2016,Q,1,0.01,18802192 ,CY_BONDTRA,,,BANK_OTC_x
00000000021763160000000000000000000000,Offbalance,IRSWP,IRS       ,-1,IR,USD,-5000000 ,16/03/2026,V,16/12/2016,Q,1,0.01,-18801745 ,DROOM     ,,,BANK_OTC_x
00000000021763160000000000000000000000,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000 ,16/03/2026,F,,0,0,0.02,19306355 ,DROOM     ,,,BANK_OTC_x
00000000021813830000000000000000000500,Offbalance,IRSWP,IRS       ,-1,IR,USD,-5000000 ,16/03/2026,F,,0,0,0.02,-19350063 ,CY_BONDTRA,,,BANK_OTC_x
00000000021813830000000000000000000500,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000 ,16/03/2026,V,15/12/2016,Q,1,0.01,18802192 ,CY_BONDTRA,,,BANK_OTC_x
00000000022390110000000000000000000000,Offbalance,IRSWP,IRS       ,-1,IR,USD,-5000000 ,16/03/2026,V,16/12/2016,Q,1,0.01,-18801745 ,DROOM     ,,,BANK_OTC_x
00000000022390110000000000000000000000,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000 ,16/03/2026,F,,0,0,0.01,18897743 ,DROOM     ,,,BANK_OTC_x
00000000022247020000000000000000000500,Offbalance,IRSWP,IRS       ,-1,IR,USD,-5000000 ,16/03/2026,F,,0,0,0.01,-18681271 ,CY_BONDTRA,,,BANK_OTC_x
00000000022247020000000000000000000500,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000 ,16/03/2026,V,16/12/2016,Q,1,0.01,18801745 ,CY_BONDTRA,,,BANK_OTC_x
00000000008269170000000000000000000500,Offbalance,IRSWP,IRS       ,-1,IR,ILS,-50000000 ,20/04/2017,V,20/10/2016,Q,1,0.00,-50008745 ,ILS_FRA_NE,,,BANK_OTC_x
00000000008269170000000000000000000500,Offbalance,IRSWP,IRS       ,1,IR,ILS,50000000 ,20/04/2017,F,,0,0,0.05,52551514 ,ILS_FRA_NE,,,BANK_OTC_x
00000000014372030000000000000000000000,Offbalance,IRSWP,IRSS      ,-1,FX,EUR,-13000000 ,18/03/2020,V,20/03/2017,M,6,0.00,-54639000 ,CY_ISRTRA ,,,BANK_OTC_x
00000000014372030000000000000000000000,Offbalance,IRSWP,IRSS      ,1,FX,EUR,13000000 ,18/03/2020,F,,0,0,0.03,62104786 ,CY_ISRTRA ,,,BANK_OTC_x
00000000022622170000000000000000000840,Offbalance,FXOP,CALLKOP   ,-1,FX,USD,-11880000 ,16/12/2016,,,,0,0.00,-40803825 ,SALES_I   ,2800,1400,CORPORATE_OTC_Y
00000000022622170000000000000000000840,Offbalance,FXOP,CALLKOP   ,1,FX,EUR,11000000 ,16/12/2016,,,,0,0.00,42255159 ,SALES_I   ,2900,1450,CORPORATE_OTC_Y
00000000022622250000000000000000000260,Offbalance,FXOP,CALLS     ,-1,FX,EUR,-20000000 ,13/10/2016,,,,0,0.00,-19201490 ,CLS_IOHEDG,3000,1500,CORPORATE_OTC_Y
00000000022622250000000000000000000260,Offbalance,FXOP,CALLS     ,1,FX,USD,22680000 ,13/10/2016,,,,0,0.00,19469077 ,CLS_IOHEDG,3100,-1550,CORPORATE_OTC_Y
00000000022622260000000000000000000260,Offbalance,FXOP,PUTP      ,-1,FX,EUR,-20000000 ,13/10/2016,,,,0,0.00,-16828896 ,CLS_IOHEDG,3200,1600,CORPORATE_OTC_Y
00000000022622260000000000000000000260,Offbalance,FXOP,PUTP      ,1,FX,USD,22040000 ,13/10/2016,,,,0,0.00,16581912 ,CLS_IOHEDG,3300,165,CORPORATE_OTC_Y
00000000022622590000000000000000000840,Offbalance,FXOP,CALLKOS   ,-1,FX,EUR,-11000000 ,16/12/2016,,,,0,0.00,-42255159 ,CLS_OPTION,-3400,-1700,CORPORATE_OTC_Y
00000000022622590000000000000000000840,Offbalance,FXOP,CALLKOS   ,1,FX,USD,11880000 ,16/12/2016,,,,0,0.00,40803825 ,CLS_OPTION,-3500,-1750,CORPORATE_OTC_Y
00000000022514440000000000000000000080,Offbalance,FXOUT,FWDS      ,-1,FX,GBP,-200000 ,11/05/2017,,,,0,0.00,-970921 ,SALES_I   ,,,CORPORATE_OTC_Y
00000000022514440000000000000000000080,Offbalance,FXOUT,FWDS      ,1,FX,NOK,2223960 ,11/05/2017,,,,0,0.00,1039479 ,SALES_I   ,,,CORPORATE_OTC_Y
00000000022514500000000000000000000080,Offbalance,FXOUT,FWDP      ,-1,FX,CHF,-97320 ,27/10/2016,,,,0,0.00,-377650 ,SALES_I   ,,,CORPORATE_OTC_Y
00000000022514500000000000000000000080,Offbalance,FXOUT,FWDP      ,1,FX,USD,99652 ,27/10/2016,,,,0,0.00,374356 ,SALES_I   ,,,CORPORATE_OTC_Y
00000000022514510000000000000000000100,Offbalance,FXOUT,FWDS      ,-1,FX,USD,-150000 ,07/11/2016,,,,0,0.00,-563388 ,SALES_I   ,,,CORPORATE_OTC_Y
00000000022514510000000000000000000100,Offbalance,FXOUT,FWDS      ,1,FX,ILS,565080 ,07/11/2016,,,,0,0.00,565023 ,SALES_I   ,,,CORPORATE_OTC_Y
00000000022514610000000000000000000100,Offbalance,FXOUT,FWDS      ,-1,FX,USD,-200000 ,13/10/2016,,,,0,0.00,-751486 ,SALES_I   ,,,CORPORATE_OTC_Y
